Tipo de dato,Archivo,Tamaño (bytes),Repetición,AES-256 tiempo (s),ECDSA tiempo (s)
PlainText,PlainText_1KB.txt,1024,57,1.4e-06,2.43e-05
PlainText,PlainText_1KB.txt,1024,58,1.4e-06,2.46e-05
PlainText,PlainText_1KB.txt,1024,59,1.4e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,60,1.4e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,61,1.3e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,62,1.4e-06,2.47e-05
PlainText,PlainText_1KB.txt,1024,63,1.4e-06,3.21e-05
PlainText,PlainText_1KB.txt,1024,64,1.4e-06,2.6e-05
PlainText,PlainText_1KB.txt,1024,65,1.4e-06,2.47e-05
PlainText,PlainText_1KB.txt,1024,66,1.4e-06,2.47e-05
PlainText,PlainText_1KB.txt,1024,67,1.4e-06,2.47e-05
PlainText,PlainText_1KB.txt,1024,68,1.4e-06,2.46e-05
PlainText,PlainText_1KB.txt,1024,69,1.3e-06,2.47e-05
PlainText,PlainText_1KB.txt,1024,70,1.4e-06,2.46e-05
PlainText,PlainText_1KB.txt,1024,71,1.4e-06,2.46e-05
PlainText,PlainText_1KB.txt,1024,72,1.5e-06,2.44e-05
PlainText,PlainText_1KB.txt,1024,73,1.4e-06,2.46e-05
PlainText,PlainText_1KB.txt,1024,74,1.4e-06,2.44e-05
PlainText,PlainText_1KB.txt,1024,75,1.4e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,76,1.3e-06,2.46e-05
PlainText,PlainText_1KB.txt,1024,77,1.4e-06,2.46e-05
PlainText,PlainText_1KB.txt,1024,78,1.4e-06,2.48e-05
PlainText,PlainText_1KB.txt,1024,79,1.4e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,80,1.3e-06,2.46e-05
PlainText,PlainText_1KB.txt,1024,81,1.4e-06,2.44e-05
PlainText,PlainText_1KB.txt,1024,82,1.4e-06,2.43e-05
PlainText,PlainText_1KB.txt,1024,83,1.4e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,84,1.4e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,85,1.4e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,86,1.3e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,87,1.4e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,88,1.4e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,89,1.4e-06,2.44e-05
PlainText,PlainText_1KB.txt,1024,90,1.4e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,91,1.4e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,92,1.4e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,93,1.4e-06,2.44e-05
PlainText,PlainText_1KB.txt,1024,94,1.4e-06,2.46e-05
PlainText,PlainText_1KB.txt,1024,95,1.4e-06,2.46e-05
PlainText,PlainText_1KB.txt,1024,96,1.4e-06,2.46e-05
PlainText,PlainText_1KB.txt,1024,97,1.4e-06,2.46e-05
PlainText,PlainText_1KB.txt,1024,98,1.4e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,99,1.4e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,100,1.4e-06,2.45e-05
PlainText,PlainText_488KB.txt,500000,1,0.0005834,0.0002812
PlainText,PlainText_488KB.txt,500000,2,0.0004829,0.0002658
PlainText,PlainText_488KB.txt,500000,3,0.0004664,0.0002633
PlainText,PlainText_488KB.txt,500000,4,0.0004665,0.0002916
PlainText,PlainText_488KB.txt,500000,5,0.0004663,0.0002687
PlainText,PlainText_488KB.txt,500000,6,0.0004704,0.0002638
PlainText,PlainText_488KB.txt,500000,7,0.0004668,0.0002631
PlainText,PlainText_488KB.txt,500000,8,0.0004664,0.0002767
PlainText,PlainText_488KB.txt,500000,9,0.0004661,0.0002629
PlainText,PlainText_488KB.txt,500000,10,0.0004655,0.0002621
PlainText,PlainText_488KB.txt,500000,11,0.0004475,0.0002619
PlainText,PlainText_488KB.txt,500000,12,0.0004472,0.000262
PlainText,PlainText_488KB.txt,500000,13,0.0004475,0.0002618
